Complaint_ID,Complaint_Text,Category
SWG821933,Tried calling restaurant for special instructions but they don't respond.,Non-Responsive Restaurant
SWG280189,Very poor service quality. Quality of food was disappointing. Items were not fresh at all. This needs immediate attention.,Food Quality Issue
SWG697006,Unprofessional service from restaurant. They ignored special requests. This is really disappointing.,Restaurant Service Issue
SWG372804,This ruined my entire meal experience. The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG358771,The delivery executive was late and blamed me for the delay. Please ensure this doesn't happen again.,Delivery Executive Issue
SWG553189,Offer not applied correctly during checkout process.,Coupon/Offer Issue
SWG929912,Please resolve this issue immediately. Delivery executive didn't follow delivery instructions and was arrogant. Please take necessary action.,Delivery Executive Issue
SWG507104,Please take immediate action. Delivery executive couldn't find my location despite clear instructions. I want a proper explanation for this.,Delivery Location Issue
SWG112960,Inconsistent order updates. Can't rely on the status information.,Inconsistent Order Status
SWG635715,Location services not working properly leading to delivery problems.,Delivery Location Issue
SWG294379,Offer not applied correctly during checkout process. Please help resolve this matter urgently.,Coupon/Offer Issue
SWG144821,Valid coupon code showing as expired or invalid. I am losing trust in Swiggy.,Coupon/Offer Issue
SWG895667,Unable to track my order. The app shows no information about delivery status. This needs immediate attention.,Tracking Issue
SWG367090,Refund amount is less than what was originally paid.,Refund Issue
SWG457261,Customer care executive was rude and disconnected the call abruptly.,Professional Support Agent
SWG528705,This ruined my entire meal experience. Status updates are completely wrong and inconsistent throughout.,Inconsistent Order Status
SWG295106,Very poor service quality. Poor service from restaurant staff. They were very rude.,Restaurant Service Issue
SWG670950,Several items missing from my order without any notification. Please take necessary action.,Missing Items
SWG286650,I expect better service from Swiggy. Payment option not working properly during checkout process.,Payment Issue
SWG941017,The food container was cracked and packaging was very poor.,Unhygienic Packaging
SWG357212,Food quality is deteriorating. This restaurant used to be good before.,Food Quality Issue
SWG983788,Received conflicting status updates via SMS and app notifications.,Inconsistent Order Status
SWG454820,No response from restaurant despite multiple attempts to contact. This is not what I expected from Swiggy.,Non-Responsive Restaurant
SWG826894,No response from restaurant despite multiple attempts to contact. I want a proper explanation for this.,Non-Responsive Restaurant
SWG127470,Rude delivery executive. Thrown the food bag and left without confirmation.,Delivery Executive Issue
SWG790909,Order was cancelled by restaurant after 45 minutes. No explanation given.,Order Cancellation
SWG674765,Received conflicting status updates via SMS and app notifications.,Inconsistent Order Status
SWG240800,This is very frustrating. Received completely different order. Ordered veg but got non-veg items. I want a proper explanation for this.,Incorrect Order
SWG862899,Payment got stuck and amount debited without order confirmation.,Payment Issue
SWG853679,I expect better service from Swiggy. Wrong delivery address used. Food delivered to different location. Please take necessary action.,Delivery Location Issue
SWG544726,Wrong food delivered. The order doesn't match what I selected. Please ensure this doesn't happen again.,Incorrect Order
SWG205389,This has happened multiple times. Delivery tracking shows wrong delivery executive details and location.,Tracking Issue
SWG395968,Delivery person was extremely unprofessional and used inappropriate language. I hope this gets resolved soon.,Delivery Executive Issue
SWG678401,I want a full refund for this. Bad food quality with stale ingredients. Had to throw away the food. This is not what I expected from Swiggy.,Food Quality Issue
SWG507695,Technical issue with app login. Cannot access my account.,App Technical Issue
SWG702433,Got someone else's order. The items are completely different. Please improve your service quality.,Incorrect Order
SWG966723,Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG569009,Paid for 4 items but received only 2. Missing items not delivered.,Missing Items
SWG935294,This has happened multiple times. Received food in damaged packaging. Very unhygienic condition.,Unhygienic Packaging
SWG702485,Food quality was very poor. Tasted stale and not fresh.,Food Quality Issue
SWG956244,Poor service from restaurant staff. They were very rude. I am losing trust in Swiggy.,Restaurant Service Issue
SWG150392,This is unacceptable. Coupon code expired suddenly while placing the order. Please ensure this doesn't happen again.,Coupon/Offer Issue
SWG583155,Bad food quality with stale ingredients. Had to throw away the food. Please take necessary action.,Food Quality Issue
SWG669113,I expect better service from Swiggy. Payment option not working properly during checkout process.,Payment Issue
SWG187556,Location services not working properly leading to delivery problems.,Delivery Location Issue
SWG789886,Received incorrect order. Ordered for 2 people but got single serving. This needs immediate attention.,Incorrect Order
SWG716029,No response from restaurant despite multiple attempts to contact.,Non-Responsive Restaurant
SWG675092,Refund status shows completed but amount not reflected in account.,Refund Issue
SWG882660,Very poor service quality. Quality of food was disappointing. Items were not fresh at all.,Food Quality Issue
SWG917548,The food was of terrible quality. Completely inedible and waste of money.,Food Quality Issue
SWG572760,Cashback offer not credited after successful order completion. I want a proper explanation for this.,Coupon/Offer Issue
SWG605590,This is unacceptable. No response from restaurant despite multiple attempts to contact.,Non-Responsive Restaurant
SWG112703,Very poor service quality. Poor food quality with bad taste and smell. Seems like old ingredients used. This needs immediate attention.,Food Quality Issue
SWG847056,This is unacceptable. Several items missing from my order without any notification.,Missing Items
SWG663123,Please resolve this issue immediately. The order tracking status keeps fluctuating between different stages.,Inconsistent Order Status
SWG356108,This ruined my entire meal experience. Support agent was unprofessional and didn't understand my issue.,Professional Support Agent
SWG172988,Wrong order delivered. This is not what I ordered at all.,Incorrect Order
SWG937489,This has happened multiple times. Delivery executive couldn't find my location despite clear instructions.,Delivery Location Issue
SWG172759,Very poor service quality. App freezes every time I try to add items to cart.,App Technical Issue
SWG930434,Cancelled order but refund is taking too much time to process.,Refund Issue
SWG266795,Bad food quality with stale ingredients. Had to throw away the food. Please help resolve this matter urgently.,Food Quality Issue
SWG479293,Cancelled order but refund is taking too much time to process.,Refund Issue
SWG286264,Restaurant is not responding to calls regarding order modification.,Non-Responsive Restaurant
SWG134281,I am extremely disappointed. GPS location issue caused delivery delay and confusion.,Delivery Location Issue
SWG318716,I want a full refund for this. Location detection not working in the app. Shows wrong address. Please improve your service quality.,App Technical Issue
SWG375617,Very poor service quality. Delivery boy didn't wear mask and was very unprofessional in behavior. This needs immediate attention.,Delivery Executive Issue
SWG152072,Had to explain my problem multiple times to different support agents.,Professional Support Agent
SWG885317,The food was of terrible quality. Completely inedible and waste of money. Please ensure this doesn't happen again.,Food Quality Issue
SWG458022,I want a full refund for this. Restaurant didn't follow special cooking instructions provided.,Restaurant Service Issue
SWG142961,Location detection not working in the app. Shows wrong address. I want a proper explanation for this.,App Technical Issue
SWG393328,The order tracking is not working properly. I can't see where my order is. I want a proper explanation for this.,Tracking Issue
SWG454161,The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG622010,Cashback offer not credited after successful order completion.,Coupon/Offer Issue
SWG824156,Delivery tracking shows wrong delivery executive details and location.,Tracking Issue
SWG658710,App crashes when trying to apply coupon codes.,App Technical Issue
SWG136211,Refund initiated but money not credited to my payment method.,Refund Issue
SWG964169,Cancelled order but refund is taking too much time to process.,Refund Issue
SWG631562,I am extremely disappointed. Had to explain my problem multiple times to different support agents. This is not what I expected from Swiggy.,Professional Support Agent
SWG254594,Coupon code expired suddenly while placing the order.,Coupon/Offer Issue
SWG512925,Very poor service quality. No response from restaurant staff when trying to discuss order issues.,Non-Responsive Restaurant
SWG634992,Did not receive all ordered items. Missing beverages and dessert.,Missing Items
SWG474745,I expect better service from Swiggy. Got someone else's order. The items are completely different.,Incorrect Order
SWG152742,This has happened multiple times. Did not receive all ordered items. Missing beverages and dessert. I want a proper explanation for this.,Missing Items
SWG594312,This ruined my entire meal experience. Received conflicting status updates via SMS and app notifications.,Inconsistent Order Status
SWG227253,I want a full refund for this. Delivery tracking shows wrong delivery executive details and location.,Tracking Issue
SWG861512,Quality of food was disappointing. Items were not fresh at all.,Food Quality Issue
SWG990941,Please resolve this issue immediately. Money debited but order not placed. Payment gateway issue. I hope this gets resolved soon.,Payment Issue
SWG233402,Contacted support multiple times but no proper resolution provided. This is really disappointing.,Professional Support Agent
SWG407419,Order tracking feature is buggy. Shows different status every time I refresh.,Tracking Issue
SWG686625,Restaurant is not responding to calls regarding order modification. Please improve your service quality.,Non-Responsive Restaurant
SWG883300,Cannot track my order at all. The tracking page is blank. Please improve your service quality.,Tracking Issue
SWG578938,This is very frustrating. Order status is misleading. Shows delivered but actually still cooking. This needs immediate attention.,Inconsistent Order Status
SWG400434,I expect better service from Swiggy. Partial refund received instead of full amount for cancelled order.,Refund Issue
SWG369950,Customer support agent was not helpful and kept transferring calls.,Professional Support Agent
SWG870214,Order tracking feature is buggy. Shows different status every time I refresh. Please improve your service quality.,Tracking Issue
SWG717604,Please resolve this issue immediately. Several items missing from my order without any notification. Please ensure this doesn't happen again.,Missing Items
SWG968679,This is very frustrating. Unhygienic packaging with visible dirt and poor handling.,Unhygienic Packaging
SWG409030,This is unacceptable. Delivery boy didn't call properly and marked order as delivered without delivering.,Delivery Executive Issue
SWG687711,Technical issue with app login. Cannot access my account.,App Technical Issue
SWG582515,Unhygienic packaging with visible dirt and poor handling.,Unhygienic Packaging
SWG535877,Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG941390,I expect better service from Swiggy. Payment got stuck and amount debited without order confirmation.,Payment Issue
SWG464750,Please resolve this issue immediately. Received incorrect order. Ordered for 2 people but got single serving. Please take necessary action.,Incorrect Order
SWG218370,Delivery person was extremely unprofessional and used inappropriate language.,Delivery Executive Issue
SWG578160,Very poor service quality. Delivered food was cold and the packaging was not insulated properly.,Cold Food Delivery
SWG799080,Delivery boy didn't wear mask and was very unprofessional in behavior. Please ensure this doesn't happen again.,Delivery Executive Issue
SWG587115,The order tracking is not working properly. I can't see where my order is.,Tracking Issue
SWG640418,Restaurant cancelled order citing unavailability after accepting it.,Order Cancellation
SWG360804,The delivery person called and shouted at me for not coming down quickly.,Delivery Executive Issue
SWG204521,Payment option not working properly during checkout process.,Payment Issue
SWG898625,Delivered food was cold and the packaging was not insulated properly. Please ensure this doesn't happen again.,Cold Food Delivery
SWG558700,This ruined my entire meal experience. Food quality was very poor. Tasted stale and not fresh.,Food Quality Issue
SWG460437,I want a full refund for this. Food delivered was completely cold and stale. Inedible quality. This needs immediate attention.,Cold Food Delivery
SWG809221,GPS location issue caused delivery delay and confusion.,Delivery Location Issue
SWG475479,The order status is not consistent. Shows different stages simultaneously. Please improve your service quality.,Inconsistent Order Status
SWG798799,This ruined my entire meal experience. Poor service from restaurant staff. They were very rude. This is really disappointing.,Restaurant Service Issue
SWG108328,Food delivered 3 hours after estimated time. Completely unacceptable. This needs immediate attention.,Late Delivery
SWG547649,Received poor quality food with weird taste and texture. I hope this gets resolved soon.,Food Quality Issue
SWG897861,This is unacceptable. Food delivered way past the estimated time. Lost appetite by then.,Late Delivery
SWG441244,Delivery person was extremely unprofessional and used inappropriate language. Please take necessary action.,Delivery Executive Issue
SWG679761,I want a full refund for this. Partial refund received instead of full amount for cancelled order.,Refund Issue
SWG930382,Called restaurant multiple times but no response from their side. Please ensure this doesn't happen again.,Non-Responsive Restaurant
SWG233370,I want a full refund for this. Support agent was unprofessional and didn't understand my issue. This is really disappointing.,Professional Support Agent
SWG465093,I expect better service from Swiggy. Payment failed but amount was deducted from my account.,Payment Issue
SWG269654,This ruined my entire meal experience. The order status is not consistent. Shows different stages simultaneously.,Inconsistent Order Status
SWG895921,Promised refund but haven't received money back in my account.,Refund Issue
SWG661109,This is unacceptable. Delayed delivery by more than 90 minutes without proper communication.,Late Delivery
SWG986581,Please resolve this issue immediately. Wrong delivery address used. Food delivered to different location. I want a proper explanation for this.,Delivery Location Issue
SWG224274,This is unacceptable. Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG962514,I am extremely disappointed. App freezes every time I try to add items to cart.,App Technical Issue
SWG820013,Food delivered 3 hours after estimated time. Completely unacceptable. This is really disappointing.,Late Delivery
SWG372273,Delivery person was extremely unprofessional and used inappropriate language.,Delivery Executive Issue
SWG969226,Restaurant cancelled my order at the last minute without proper reason.,Order Cancellation
SWG947591,Please resolve this issue immediately. Food packaging was completely damaged and looked unsafe to eat. Please take necessary action.,Unhygienic Packaging
SWG536646,I want a full refund for this. The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG588303,Half of the ordered items are missing from the delivery. I am losing trust in Swiggy.,Missing Items
SWG315917,Please resolve this issue immediately. Cancelled order but refund is taking too much time to process.,Refund Issue
SWG533795,Wrong delivery address used. Food delivered to different location.,Delivery Location Issue
SWG720875,Order delivered 2 hours late. Very disappointing service.,Late Delivery
SWG860548,Food quality was very poor. Tasted stale and not fresh.,Food Quality Issue
SWG966614,Please resolve this issue immediately. Missing items from order. This is the second time this happened.,Missing Items
SWG967949,Please resolve this issue immediately. The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG595952,Several items missing from my order without any notification. Please ensure this doesn't happen again.,Missing Items
SWG725329,This is very frustrating. Delivery boy didn't wear mask and was very unprofessional in behavior. I want a proper explanation for this.,Delivery Executive Issue
SWG862760,The order status is not consistent. Shows different stages simultaneously.,Inconsistent Order Status
SWG446859,Order tracking feature is buggy. Shows different status every time I refresh. I am losing trust in Swiggy.,Tracking Issue
SWG415743,The order tracking status keeps fluctuating between different stages.,Inconsistent Order Status
SWG175548,This ruined my entire meal experience. Food delivered way past the estimated time. Lost appetite by then. Please take necessary action.,Late Delivery
SWG438680,Double payment charged for single order. Refund not processed yet.,Payment Issue
SWG218867,Refund amount is less than what was originally paid. Please help resolve this matter urgently.,Refund Issue
SWG906315,Cancelled my order after confirming it. Very disappointing experience.,Order Cancellation
SWG259437,Location detection not working in the app. Shows wrong address. Please ensure this doesn't happen again.,App Technical Issue
SWG755910,Delivery boy didn't wear mask and was very unprofessional in behavior.,Delivery Executive Issue
SWG546235,Wrong delivery address used. Food delivered to different location. This is really disappointing.,Delivery Location Issue
SWG672257,Very poor service quality. Wrong delivery address used. Food delivered to different location.,Delivery Location Issue
SWG227257,Cancelled my order after confirming it. Very disappointing experience. I want a proper explanation for this.,Order Cancellation
SWG765213,The order status is not consistent. Shows different stages simultaneously. I hope this gets resolved soon.,Inconsistent Order Status
SWG560343,Wrong delivery address used. Food delivered to different location. Please take necessary action.,Delivery Location Issue
SWG808308,This is very frustrating. Delivery boy was very rude and unprofessional during delivery. Please ensure this doesn't happen again.,Delivery Executive Issue
SWG499987,Refund amount is less than what was originally paid. This needs immediate attention.,Refund Issue
SWG714812,Please resolve this issue immediately. Ordered combo meal but received incomplete items. I hope this gets resolved soon.,Missing Items
SWG737058,Wallet balance not updated after successful payment deduction.,Payment Issue
SWG409203,Payment failed but amount was deducted from my account.,Payment Issue
SWG421331,This ruined my entire meal experience. Very late delivery without any notification or apology.,Late Delivery
SWG550592,Support team keeps giving generic responses without solving the issue. I hope this gets resolved soon.,Professional Support Agent
SWG435740,Order delivered 2 hours late. Very disappointing service.,Late Delivery
SWG228356,Please take immediate action. Incomplete order delivered. Missing main course items. Please take necessary action.,Missing Items
SWG884170,This is very frustrating. Cold food delivery. The curry was completely cold and oil separated.,Cold Food Delivery
SWG894544,Poor food quality with bad taste and smell. Seems like old ingredients used.,Food Quality Issue
SWG491078,Poor food quality with bad taste and smell. Seems like old ingredients used.,Food Quality Issue
SWG936449,Missing items from order. This is the second time this happened.,Missing Items
SWG874831,App freezes every time I try to add items to cart. This is really disappointing.,App Technical Issue
SWG121695,This has happened multiple times. The food was of terrible quality. Completely inedible and waste of money. I am losing trust in Swiggy.,Food Quality Issue
SWG161849,Delivery address was incorrect in the system despite entering correctly.,Delivery Location Issue
SWG631297,Food packaging was damaged and unhygienic. Found hair in the food.,Unhygienic Packaging
SWG727029,Food quality was below average. Not worth the price paid.,Food Quality Issue
SWG366659,Food packaging was damaged and unhygienic. Found hair in the food. I hope this gets resolved soon.,Unhygienic Packaging
SWG455193,This is very frustrating. Delivery boy didn't call properly and marked order as delivered without delivering.,Delivery Executive Issue
SWG800906,Payment got stuck and amount debited without order confirmation.,Payment Issue
SWG608242,Partial refund received instead of full amount for cancelled order.,Refund Issue
SWG373832,Please take immediate action. Order status is misleading. Shows delivered but actually still cooking.,Inconsistent Order Status
SWG469458,Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG957251,Incomplete order delivered. Missing main course items.,Missing Items
SWG570253,App is crashing repeatedly during order placement.,App Technical Issue
SWG754644,Sudden order cancellation after payment was successful. Need immediate refund.,Order Cancellation
SWG335715,I want a full refund for this. Restaurant staff was uncooperative and didn't handle requests properly.,Restaurant Service Issue
SWG708934,Customer support is not responding to my complaint emails.,Professional Support Agent
SWG660078,Restaurant staff was uncooperative and didn't handle requests properly.,Restaurant Service Issue
SWG573589,Refund not processed even after 7 working days of cancellation.,Refund Issue
SWG586060,Food quality is deteriorating. This restaurant used to be good before.,Food Quality Issue
SWG922209,Refund status shows completed but amount not reflected in account. This is not what I expected from Swiggy.,Refund Issue
SWG897925,I expect better service from Swiggy. Food delivered 3 hours after estimated time. Completely unacceptable. Please improve your service quality.,Late Delivery
SWG793193,Wrong food delivered. The order doesn't match what I selected. I want a proper explanation for this.,Incorrect Order
SWG625738,Refund not processed even after 7 working days of cancellation.,Refund Issue
SWG831952,No response from restaurant despite multiple attempts to contact.,Non-Responsive Restaurant
SWG524089,Wrong food delivered. The order doesn't match what I selected. I want a proper explanation for this.,Incorrect Order
SWG136518,Payment option not working properly during checkout process.,Payment Issue
SWG698071,Customer support is not responding to my complaint emails.,Professional Support Agent
SWG432048,Very poor service quality. Delivery person went to wrong address and food got cold.,Delivery Location Issue
SWG540114,Please resolve this issue immediately. Food quality was below average. Not worth the price paid. I am losing trust in Swiggy.,Food Quality Issue
SWG589887,Rude delivery executive. Thrown the food bag and left without confirmation. Please take necessary action.,Delivery Executive Issue
SWG991447,Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG966917,Food quality was below average. Not worth the price paid. This needs immediate attention.,Food Quality Issue
SWG789186,Half of the ordered items are missing from the delivery.,Missing Items
SWG652953,Location detection not working in the app. Shows wrong address.,App Technical Issue
SWG630647,Restaurant is not responding to calls regarding order modification. I want a proper explanation for this.,Non-Responsive Restaurant
SWG624112,This has happened multiple times. No response from restaurant staff when trying to discuss order issues. Please help resolve this matter urgently.,Non-Responsive Restaurant
SWG778748,Restaurant service quality has declined significantly over time. I hope this gets resolved soon.,Restaurant Service Issue
SWG573404,GPS location issue caused delivery delay and confusion.,Delivery Location Issue
SWG659106,Order status keeps changing randomly. Very confusing updates. Please improve your service quality.,Inconsistent Order Status
SWG698749,The delivery executive was late and blamed me for the delay.,Delivery Executive Issue
SWG681636,I want a full refund for this. Called restaurant multiple times but no response from their side. This is really disappointing.,Non-Responsive Restaurant
SWG998626,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG316456,Very poor service quality. Charged extra amount than the order total. Billing discrepancy.,Payment Issue
SWG586019,Quality of food was disappointing. Items were not fresh at all.,Food Quality Issue
SWG314140,Very poor service quality. Restaurant not picking up calls for order clarification.,Non-Responsive Restaurant
SWG850742,Received incorrect order. Ordered for 2 people but got single serving. I am losing trust in Swiggy.,Incorrect Order
SWG541531,Please resolve this issue immediately. Very late delivery without any notification or apology. This needs immediate attention.,Late Delivery
SWG914126,Delivery person went to wrong address and food got cold.,Delivery Location Issue
SWG864711,Delivered food was cold and the packaging was not insulated properly. Please improve your service quality.,Cold Food Delivery
SWG753425,Order tracking feature is buggy. Shows different status every time I refresh. I am losing trust in Swiggy.,Tracking Issue
SWG718213,Cold food delivery. The curry was completely cold and oil separated.,Cold Food Delivery
SWG295190,Delivery executive couldn't find my location despite clear instructions. This is really disappointing.,Delivery Location Issue
SWG467121,This has happened multiple times. Sudden order cancellation after payment was successful. Need immediate refund.,Order Cancellation
SWG607417,This has happened multiple times. Order delivered 2 hours late. Very disappointing service.,Late Delivery
SWG998583,Please take immediate action. Had to explain my problem multiple times to different support agents.,Professional Support Agent
SWG918144,Ordered combo meal but received incomplete items. Please take necessary action.,Missing Items
SWG192086,Order was supposed to arrive in 30 minutes but came after 2 hours. I hope this gets resolved soon.,Late Delivery
SWG532164,App is crashing repeatedly during order placement.,App Technical Issue
SWG752079,Please resolve this issue immediately. Had to explain my problem multiple times to different support agents.,Professional Support Agent
SWG554871,I am extremely disappointed. Food packaging was damaged and unhygienic. Found hair in the food. I want a proper explanation for this.,Unhygienic Packaging
SWG227091,Completely wrong order delivered. None of the items match my order. Please help resolve this matter urgently.,Incorrect Order
SWG746551,Restaurant didn't follow special cooking instructions provided. Please improve your service quality.,Restaurant Service Issue
SWG820431,Order was supposed to arrive in 30 minutes but came after 2 hours. This is really disappointing.,Late Delivery
SWG469283,Please take immediate action. The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG663852,Wallet balance not updated after successful payment deduction. I want a proper explanation for this.,Payment Issue
SWG771670,This has happened multiple times. Wrong food delivered. The order doesn't match what I selected.,Incorrect Order
SWG336170,App crashes when trying to apply coupon codes. Please improve your service quality.,App Technical Issue
SWG206900,Restaurant not picking up calls for order clarification.,Non-Responsive Restaurant
SWG826559,Food delivered way past the estimated time. Lost appetite by then.,Late Delivery
SWG446919,I want a full refund for this. Service from restaurant was below expectations. Need improvement.,Restaurant Service Issue
SWG604283,Delivery boy didn't wear mask and was very unprofessional in behavior.,Delivery Executive Issue
SWG970790,Restaurant not picking up calls for order clarification. Please take necessary action.,Non-Responsive Restaurant
SWG869040,This has happened multiple times. Half of the ordered items are missing from the delivery. Please take necessary action.,Missing Items
SWG818113,I want a full refund for this. Delivered food was cold and the packaging was not insulated properly.,Cold Food Delivery
SWG374201,Technical glitch in the app. Cannot complete the checkout process. Please improve your service quality.,App Technical Issue
SWG929906,Status updates are completely wrong and inconsistent throughout.,Inconsistent Order Status
SWG416613,I expect better service from Swiggy. My order was cancelled without any notification after 1 hour of waiting.,Order Cancellation
SWG635456,Unhygienic packaging with visible dirt and poor handling.,Unhygienic Packaging
SWG554980,I want a full refund for this. Consistently late deliveries from this restaurant. Need to improve timing. This needs immediate attention.,Late Delivery
SWG390070,App interface is buggy and not responding to touch inputs. I am losing trust in Swiggy.,App Technical Issue
SWG854048,Refund initiated but money not credited to my payment method.,Refund Issue
SWG933229,Received poor quality food with weird taste and texture.,Food Quality Issue
SWG862606,Status shows 'out for delivery' but then changes back to 'preparing'.,Inconsistent Order Status
SWG265613,Restaurant cancelled order citing unavailability after accepting it.,Order Cancellation
SWG361609,Order status keeps changing randomly. Very confusing updates.,Inconsistent Order Status
SWG188914,Partial refund received instead of full amount for cancelled order.,Refund Issue
SWG547234,Half of the ordered items are missing from the delivery.,Missing Items
SWG522419,Food arrived cold despite paying delivery charges. Very unsatisfied.,Cold Food Delivery
SWG963319,Payment deducted twice for the same order. Need immediate refund.,Payment Issue
SWG491246,Food delivered 3 hours after estimated time. Completely unacceptable. Please ensure this doesn't happen again.,Late Delivery
SWG841071,The restaurant sent wrong items. Ordered Chinese but received South Indian.,Incorrect Order
SWG355790,App interface is buggy and not responding to touch inputs.,App Technical Issue
SWG648034,Applied valid coupon but discount not reflected in final amount.,Coupon/Offer Issue
SWG891507,The food was of terrible quality. Completely inedible and waste of money.,Food Quality Issue
SWG811027,I am extremely disappointed. Order cancelled without consent. This is the third time this month. This is not what I expected from Swiggy.,Order Cancellation
SWG234993,Payment got stuck and amount debited without order confirmation. Please ensure this doesn't happen again.,Payment Issue
SWG278755,Payment deducted twice for the same order. Need immediate refund.,Payment Issue
SWG481901,Poor food quality with bad taste and smell. Seems like old ingredients used. Please help resolve this matter urgently.,Food Quality Issue
SWG454210,Partial refund received instead of full amount for cancelled order. Please take necessary action.,Refund Issue
SWG870509,Customer support is not responding to my complaint emails. I want a proper explanation for this.,Professional Support Agent
SWG614616,Unprofessional service from restaurant. They ignored special requests.,Restaurant Service Issue
SWG117975,Cold food delivery. The curry was completely cold and oil separated.,Cold Food Delivery
SWG336508,Technical glitch in the app. Cannot complete the checkout process.,App Technical Issue
SWG833218,App crashes when trying to apply coupon codes. I want a proper explanation for this.,App Technical Issue
SWG308266,Ordered combo meal but received incomplete items.,Missing Items
SWG400748,Please take immediate action. Wrong food delivered. The order doesn't match what I selected. I am losing trust in Swiggy.,Incorrect Order
SWG159532,The order tracking status keeps fluctuating between different stages.,Inconsistent Order Status
SWG934438,This is unacceptable. Delivery person was extremely unprofessional and used inappropriate language. Please help resolve this matter urgently.,Delivery Executive Issue
SWG463251,Food delivered was completely cold and stale. Inedible quality. Please ensure this doesn't happen again.,Cold Food Delivery
SWG929909,Delivery person went to wrong address and food got cold.,Delivery Location Issue
SWG963539,The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG641058,The food was cold when delivered. Seems like it was prepared hours ago. Please ensure this doesn't happen again.,Cold Food Delivery
SWG178064,This has happened multiple times. Unprofessional service from restaurant. They ignored special requests.,Restaurant Service Issue
SWG135165,Refund initiated but money not credited to my payment method.,Refund Issue
SWG380464,I am extremely disappointed. Order cancelled without consent. This is the third time this month. Please ensure this doesn't happen again.,Order Cancellation
SWG826155,I expect better service from Swiggy. Inconsistent order updates. Can't rely on the status information.,Inconsistent Order Status
SWG485191,Order was cancelled by restaurant after 45 minutes. No explanation given.,Order Cancellation
SWG116349,This has happened multiple times. Had to explain my problem multiple times to different support agents.,Professional Support Agent
SWG523956,Unable to track my order. The app shows no information about delivery status.,Tracking Issue
SWG264417,Order was supposed to arrive in 30 minutes but came after 2 hours.,Late Delivery
SWG677637,Very late delivery without any notification or apology. I am losing trust in Swiggy.,Late Delivery
SWG183952,Got someone else's order. The items are completely different.,Incorrect Order
SWG246346,This is very frustrating. Delivery executive couldn't find my location despite clear instructions.,Delivery Location Issue
SWG522009,Very poor service quality. Food quality is deteriorating. This restaurant used to be good before.,Food Quality Issue
SWG439458,I want a full refund for this. Consistently late deliveries from this restaurant. Need to improve timing.,Late Delivery
SWG184050,Did not receive all ordered items. Missing beverages and dessert.,Missing Items
SWG540191,This is very frustrating. Unprofessional service from restaurant. They ignored special requests. Please take necessary action.,Restaurant Service Issue
SWG218245,Discount coupon not working for eligible restaurants.,Coupon/Offer Issue
SWG217301,Order tracking feature is buggy. Shows different status every time I refresh.,Tracking Issue
SWG818644,Location detection not working in the app. Shows wrong address. I want a proper explanation for this.,App Technical Issue
SWG118786,Order status keeps changing randomly. Very confusing updates. This is not what I expected from Swiggy.,Inconsistent Order Status
SWG676542,Coupon code not working despite meeting all the criteria.,Coupon/Offer Issue
SWG576851,Received poor quality food with weird taste and texture.,Food Quality Issue
SWG790601,This is unacceptable. Payment failed but amount was deducted from my account. I hope this gets resolved soon.,Payment Issue
SWG503443,Very poor service quality. Technical issue with app login. Cannot access my account.,App Technical Issue
SWG478970,Restaurant is not responding to calls regarding order modification.,Non-Responsive Restaurant
SWG575745,Please resolve this issue immediately. Consistently late deliveries from this restaurant. Need to improve timing. Please take necessary action.,Late Delivery
SWG860583,Wrong order delivered. This is not what I ordered at all.,Incorrect Order
SWG740006,Refund not processed even after 7 working days of cancellation.,Refund Issue
SWG421876,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG805139,Delivery boy didn't call properly and marked order as delivered without delivering.,Delivery Executive Issue
SWG156752,Restaurant is completely non-responsive. Can't reach them at all. This needs immediate attention.,Non-Responsive Restaurant
SWG778044,Cashback offer not credited after successful order completion. I want a proper explanation for this.,Coupon/Offer Issue
SWG280861,I am extremely disappointed. Location issue during delivery. Executive was completely lost. I am losing trust in Swiggy.,Delivery Location Issue
SWG176116,This ruined my entire meal experience. Refund amount is less than what was originally paid.,Refund Issue
SWG624513,Money debited but order not placed. Payment gateway issue.,Payment Issue
SWG221552,Cannot track my order at all. The tracking page is blank.,Tracking Issue
SWG687173,Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG114892,Wrong order delivered. This is not what I ordered at all.,Incorrect Order
SWG572665,Refund amount is less than what was originally paid. This needs immediate attention.,Refund Issue
SWG914992,I want a full refund for this. Wrong food delivered. The order doesn't match what I selected. Please help resolve this matter urgently.,Incorrect Order
SWG854124,Missing items from order. This is the second time this happened. This needs immediate attention.,Missing Items
